State,County,Pop2023,White %,Other %,TwoOrMore %,Black %,Asian %,Indian %,Hawaiian %
IN,Adams County,36235,0.9541,0.0189,0.0135,0.0099,0.0026,0.001,0
IN,Allen County,394434,0.7754,0.0226,0.0444,0.1135,0.0418,0.002,0.0004
IN,Bartholomew County,83831,0.8362,0.0305,0.0346,0.079,0.0185,0.0012,0
IN,Benton County,8677,0.9689,0.0023,0.0205,0.0058,0.0008,0.0002,0.0015
IN,Blackford County,11917,0.9707,0,0.0192,0.0044,0.0033,0.0024,0
IN,Boone County,75063,0.9188,0.0044,0.0263,0.0176,0.0317,0.0011,0
IN,Brown County,15544,0.9657,0.0025,0.0168,0.0122,0.0027,0,0
IN,Carroll County,20351,0.9563,0.0208,0.0135,0.0058,0.0025,0.0011,0
IN,Cass County,37540,0.8375,0.0959,0.0348,0.0117,0.0161,0.0035,0.0005
IN,Clark County,124351,0.8701,0.0102,0.0459,0.0631,0.0093,0.0012,0.0001
IN,Clay County,26340,0.9675,0.0027,0.0197,0.0058,0.0025,0.0016,0.0002
IN,Clinton County,33181,0.904,0.0618,0.0247,0.0057,0.0029,0.0002,0.0007
IN,Crawford County,10469,0.9685,0.0026,0.0222,0.0038,0,0.0029,0
IN,Daviess County,33900,0.9268,0.0245,0.029,0.0172,0.0023,0,0.0002
IN,Dearborn County,50868,0.973,0.0015,0.0116,0.007,0.0055,0.0006,0.0007
IN,Decatur County,26691,0.9589,0.0039,0.0157,0.0015,0.0185,0.0016,0
IN,DeKalb County,43577,0.9699,0.0042,0.017,0.0038,0.0045,0.0004,0
IN,Delaware County,110172,0.878,0.005,0.0329,0.068,0.0143,0.0009,0.0009
IN,Dubois County,44162,0.9358,0.0221,0.0204,0.0118,0.0072,0.0027,0
IN,Elkhart County,209894,0.8528,0.0323,0.0491,0.0532,0.0092,0.0028,0.0006
IN,Fayette County,23134,0.9494,0.0037,0.0186,0.0261,0.0004,0.0019,0
IN,Floyd County,82257,0.8967,0.0037,0.0341,0.0516,0.0112,0.0025,0.0001
IN,Fountain County,16251,0.9743,0.0012,0.0136,0.0039,0.0052,0.0018,0
IN,Franklin County,22695,0.9719,0.0021,0.0207,0.0014,0.0038,0.0001,0
IN,Fulton County,20372,0.9364,0.0279,0.025,0.0067,0.0021,0.0016,0.0003
IN,Gibson County,32864,0.9388,0.0069,0.0272,0.0233,0.0036,0.0002,0
IN,Grant County,65657,0.8723,0.01,0.0338,0.0722,0.009,0.0027,0
IN,Greene County,30095,0.9718,0.0027,0.0198,0.0034,0.0016,0.0001,0.0006
IN,Hamilton County,369337,0.86,0.0081,0.0304,0.0391,0.0606,0.0016,0.0003
IN,Hancock County,82792,0.9357,0.006,0.0218,0.0273,0.0091,0,0
IN,Harrison County,39741,0.9633,0.0138,0.0109,0.0055,0.0053,0.0012,0
IN,Hendricks County,183590,0.8565,0.0122,0.0287,0.0718,0.0292,0.0015,0.0001
IN,Henry County,48749,0.9454,0.0064,0.0164,0.0256,0.0034,0.0026,0.0001
IN,Howard County,83931,0.8656,0.008,0.026,0.0814,0.0135,0.0054,0.0002
IN,Huntington County,36524,0.9547,0.0113,0.0137,0.0094,0.0065,0.0028,0.0016
IN,Jackson County,47643,0.8944,0.0482,0.0163,0.0135,0.0244,0.0027,0.0004
IN,Jasper County,32750,0.9232,0.0271,0.0383,0.0088,0.0024,0.0001,0
IN,Jay County,20244,0.9645,0.0117,0.0111,0.0031,0.0046,0.0049,0
IN,Jefferson County,33363,0.9431,0.0067,0.0206,0.0219,0.0053,0.0025,0
IN,Jennings County,27340,0.9609,0.0075,0.0173,0.01,0.0005,0.0038,0
IN,Johnson County,168398,0.9036,0.0083,0.022,0.0258,0.0375,0.0024,0.0003
IN,Knox County,35634,0.929,0.0101,0.0227,0.0288,0.0083,0.0006,0.0005
IN,Kosciusko County,81104,0.9281,0.0137,0.0326,0.0065,0.0151,0.0035,0.0004
IN,LaGrange County,41442,0.9727,0.0039,0.0206,0.0016,0.001,0.0002,0
IN,Lake County,499510,0.6102,0.0881,0.0485,0.2363,0.0141,0.0026,0.0003
IN,LaPorte County,112702,0.8191,0.0213,0.043,0.1067,0.0068,0.0029,0.0002
IN,Lawrence County,44675,0.9597,0.0092,0.0194,0.0043,0.0053,0.0019,0.0002
IN,Madison County,129676,0.8684,0.0129,0.0311,0.0802,0.0051,0.0023,0
IN,Marion County,999346,0.5981,0.0385,0.0429,0.2826,0.0355,0.0021,0.0002
IN,Marshall County,45807,0.9444,0.0182,0.0223,0.0073,0.0052,0.0026,0
IN,Martin County,9656,0.9649,0.0005,0.013,0.0081,0.0031,0.0104,0
IN,Miami County,35680,0.8997,0.0161,0.0275,0.0446,0.0061,0.006,0
IN,Monroe County,140240,0.8556,0.0042,0.0394,0.0329,0.0655,0.0024,0.0001
IN,Montgomery County,37879,0.9454,0.0092,0.0276,0.0096,0.0068,0.001,0.0004
IN,Morgan County,72647,0.9653,0.0046,0.0186,0.0029,0.0084,0.0002,0
IN,Newton County,13707,0.9421,0.0271,0.0165,0.0129,0,0.0014,0
IN,Noble County,47433,0.9485,0.0076,0.0295,0.0063,0.0069,0.0005,0.0007
IN,Ohio County,5883,0.9613,0.0061,0.0216,0.0053,0.0049,0.0008,0
IN,Orange County,19876,0.9524,0.0018,0.0146,0.0253,0.0051,0.0008,0
IN,Owen County,21246,0.9632,0,0.0236,0.0031,0.0048,0.0052,0
IN,Parke County,15802,0.9539,0.0038,0.0268,0.0133,0,0.0022,0
IN,Perry County,19119,0.9424,0.0027,0.0202,0.0272,0.0059,0.0016,0
IN,Pike County,12070,0.9626,0.0142,0.0099,0.0076,0.0056,0,0
IN,Porter County,175876,0.8958,0.015,0.0344,0.0391,0.0133,0.0019,0.0005
IN,Posey County,25015,0.9562,0.0099,0.0117,0.0188,0.0029,0.0005,0
IN,Pulaski County,12247,0.9458,0.0143,0.028,0.0017,0.0046,0.0025,0.0031
IN,Putnam County,36354,0.9272,0.004,0.0149,0.0252,0.0268,0.0017,0.0002
IN,Randolph County,24001,0.9455,0.0196,0.026,0.0044,0.0037,0.0007,0
IN,Ripley County,29049,0.9684,0.0048,0.0126,0.0034,0.0095,0.0013,0
IN,Rush County,16560,0.9714,0.0023,0.0064,0.0188,0.001,0.0002,0
IN,St. Joseph County,274706,0.7631,0.0268,0.0512,0.1285,0.0252,0.0046,0.0005
IN,Scott County,24444,0.9659,0.0071,0.0157,0.0018,0.0028,0.0068,0
IN,Shelby County,45241,0.9414,0.0226,0.02,0.0104,0.005,0.0006,0.0002
IN,Spencer County,19468,0.9677,0.0059,0.0155,0.0064,0.0036,0.0008,0
IN,Starke County,23374,0.9681,0.0025,0.0166,0.0072,0.0025,0.003,0
IN,Steuben County,34510,0.9575,0.0057,0.0271,0.0038,0.0056,0.0004,0
IN,Sullivan County,20619,0.9197,0.0062,0.0264,0.0384,0.0076,0.0015,0.0003
IN,Switzerland County,9473,0.9602,0.0042,0.0153,0.0059,0.0068,0,0.0076
IN,Tippecanoe County,190292,0.8041,0.0281,0.0281,0.0562,0.081,0.0023,0.0004
IN,Tipton County,15185,0.9624,0.0104,0.0212,0.0005,0.0053,0.0002,0
IN,Union County,6958,0.9682,0.0008,0.0098,0.0027,0.0185,0,0
IN,Vanderburgh County,180265,0.8471,0.0112,0.0306,0.0952,0.0134,0.0006,0.0019
IN,Vermillion County,15208,0.9702,0.0048,0.0128,0.007,0.0028,0.0018,0.0005
IN,Vigo County,105643,0.866,0.0088,0.0309,0.0723,0.0197,0.0016,0.0007
IN,Wabash County,30403,0.9515,0.013,0.0107,0.0106,0.0052,0.0086,0.0004
IN,Warren County,8419,0.9731,0.0023,0.0159,0.0063,0.0023,0,0
IN,Warrick County,65161,0.925,0.0114,0.0161,0.0183,0.0282,0.0009,0.0001
IN,Washington County,28158,0.9773,0.0024,0.0159,0.0006,0.0034,0.0004,0
IN,Wayne County,65845,0.8928,0.0092,0.0305,0.0511,0.0129,0.0036,0
IN,Wells County,28342,0.9499,0.0079,0.0281,0.0081,0.0038,0.002,0
IN,White County,24700,0.9073,0.06,0.0167,0.0066,0.0033,0.0058,0.0003
IN,Whitley County,34461,0.9628,0.0012,0.026,0.0038,0.0043,0.0019,0